"Team_name","player_name","position","targets","rz_targets","target_share","rz_target_share","completions","rz_completions","rec_yards","rz_rec_yards","rush_attempts","rz_rush_attempts","rush_share","rz_rush_share","rush_yards","rz_rush_yards","rz_tds","non_rz_tds"
"PIT","R.Dowdle","RB",5,0,0.135,0,2,0,6,0,8,1,0.444,1,15,3,0,0
"PIT","D.Metcalf","WR",10,0,0.27,0,4,0,40,0,0,0,0,0,0,0,0,0
"PIT","R.Wilson","WR",6,0,0.162,0,3,0,26,0,0,0,0,0,0,0,0,0
"PIT","P.Freiermuth","TE",5,2,0.135,0.5,5,2,46,8,0,0,0,0,0,0,1,0
"PIT","M.Pittman","WR",3,0,0.081,0,3,0,58,0,0,0,0,0,0,0,0,0
"PIT","D.Washington","TE",2,0,0.054,0,2,0,18,0,0,0,0,0,0,0,0,0
"SEA","J.Price","RB",2,0,0.083,0,2,0,6,0,10,0,0.476,0,52,0,0,0
"SEA","J.Smith-Njigba","WR",11,3,0.458,1,8,0,122,0,0,0,0,0,0,0,0,1
"SEA","G.Holani","RB",1,0,0.042,0,0,0,0,0,8,2,0.381,0.667,29,6,0,0
"SEA","C.Kupp","WR",3,0,0.125,0,2,0,35,0,0,0,0,0,0,0,0,0
"SEA","R.Shaheed","WR",3,0,0.125,0,1,0,4,0,0,0,0,0,0,0,0,0
"SEA","B.Russell","RB",2,0,0.083,0,2,0,20,0,0,0,0,0,0,0,0,0
"SEA","A.Barner","TE",2,0,0.083,0,2,0,13,0,0,0,0,0,0,0,0,0
"SEA","E.Wilson","RB",0,0,0,0,0,0,0,0,2,0,0.095,0,3,0,0,0
"SEA","D.Lock","QB",0,0,0,0,0,0,0,0,1,1,0.048,0.333,14,14,0,0
"SF","C.McCaffrey","RB",8,0,0.235,0,5,0,20,0,10,2,0.333,1,68,3,0,0
"SF","K.Black","RB",1,0,0.029,0,1,0,5,0,14,0,0.467,0,65,0,0,0
"SF","D.Samuel","WR",7,3,0.206,0.375,6,3,48,20,1,0,0.033,0,12,0,1,0
"SF","M.Evans","WR",7,2,0.206,0.25,6,2,49,10,0,0,0,0,0,0,1,0
"SF","G.Kittle","TE",5,1,0.147,0.125,2,1,12,6,0,0,0,0,0,0,0,0
"SF","B.Purdy","QB",0,0,0,0,0,0,0,0,5,0,0.167,0,29,0,0,0
"SF","D.Robinson","WR",3,2,0.088,0.25,2,1,50,11,0,0,0,0,0,0,0,1
"SF","L.Farrell","TE",2,0,0.059,0,2,0,19,0,0,0,0,0,0,0,0,0
"SF","J.Brendel","OL",1,0,0.029,0,1,0,2,0,0,0,0,0,0,0,0,0
"TB","B.Irving","RB",7,0,0.259,0,7,0,48,0,8,2,0.421,0.4,45,13,1,0
"TB","K.Gainwell","RB",1,0,0.037,0,1,0,3,0,5,0,0.263,0,15,0,0,0
"TB","E.Egbuka","WR",6,0,0.222,0,5,0,63,0,0,0,0,0,0,0,0,0
"TB","C.Godwin","WR",4,0,0.148,0,4,0,40,0,1,0,0.053,0,3,0,0,0
"TB","C.Otton","TE",5,2,0.185,0.667,3,2,26,13,0,0,0,0,0,0,0,0
"TB","B.Mayfield","QB",0,0,0,0,0,0,0,0,4,3,0.211,0.6,31,25,1,0
"TB","T.Hurst","WR",3,0,0.111,0,3,0,36,0,0,0,0,0,0,0,0,0
"TB","T.Johnson","WR",1,1,0.037,0.333,0,0,0,0,1,0,0.053,0,-4,0,0,0
"TEN","T.Pollard","RB",2,0,0.071,0,1,0,-1,0,7,0,0.5,NA,35,0,0,0
"TEN","T.Spears","RB",4,0,0.143,0,2,0,12,0,3,0,0.214,NA,12,0,0,0
"TEN","W.Robinson","WR",6,0,0.214,0,5,0,38,0,0,0,0,NA,0,0,0,0
"TEN","C.Tate","WR",6,0,0.214,0,4,0,38,0,0,0,0,NA,0,0,0,0
"TEN","G.Helm","TE",5,1,0.179,0.333,4,0,28,0,0,0,0,NA,0,0,0,0
"TEN","C.Ward","QB",0,0,0,0,0,0,0,0,4,0,0.286,NA,21,0,0,0
"TEN","E.Ayomanor","WR",3,2,0.107,0.667,1,1,11,11,0,0,0,NA,0,0,1,0
"TEN","D.Bellinger","TE",1,0,0.036,0,1,0,7,0,0,0,0,NA,0,0,0,0
"TEN","C.Dike","WR",1,0,0.036,0,1,0,7,0,0,0,0,NA,0,0,0,0
"WAS","J.Croskey-Merritt","RB",1,0,0.033,0,1,0,-7,0,16,1,0.5,0.143,63,1,1,0
"WAS","S.Diggs","WR",9,1,0.3,0.143,4,1,55,10,0,0,0,0,0,0,1,0
"WAS","R.White","RB",2,1,0.067,0.143,2,1,5,2,7,1,0.219,0.143,22,2,0,0
"WAS","J.Daniels","QB",0,0,0,0,0,0,0,0,5,2,0.156,0.286,31,2,0,0
"WAS","T.McLaurin","WR",4,1,0.133,0.143,2,1,14,6,0,0,0,0,0,0,0,0
"WAS","J.Bates","TE",4,2,0.133,0.286,2,0,13,0,0,0,0,0,0,0,0,0
"WAS","A.Williams","WR",4,2,0.133,0.286,4,2,64,17,0,0,0,0,0,0,1,0
"WAS","K.Allen","RB",0,0,0,0,0,0,0,0,4,3,0.125,0.429,16,11,0,0
"WAS","C.Okonkwo","TE",3,0,0.1,0,2,0,16,0,0,0,0,0,0,0,0,0
"WAS","D.Brown","WR",2,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0
"WAS","J.Lane","WR",1,0,0.033,0,1,0,4,0,0,0,0,0,0,0,0,0
